"sep=	"
Shimmer_B5B6_TimestampSync_Unix_CAL	Shimmer_B5B6_Accel_LN_X_CAL	Shimmer_B5B6_Accel_LN_Y_CAL	Shimmer_B5B6_Accel_LN_Z_CAL	Shimmer_B5B6_Accel_WR_X_CAL	Shimmer_B5B6_Accel_WR_Y_CAL	Shimmer_B5B6_Accel_WR_Z_CAL	Shimmer_B5B6_Battery_CAL	Shimmer_B5B6_Ext_Exp_A6_CAL	Shimmer_B5B6_Gyro_X_CAL	Shimmer_B5B6_Gyro_Y_CAL	Shimmer_B5B6_Gyro_Z_CAL	Shimmer_B5B6_Mag_X_CAL	Shimmer_B5B6_Mag_Y_CAL	Shimmer_B5B6_Mag_Z_CAL	Shimmer_B5B6_Pressure_BMP280_CAL	Shimmer_B5B6_Temperature_BMP280_CAL	
ms	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	m/(s^2)	mV	mV	deg/s	deg/s	deg/s	local_flux	local_flux	local_flux	kPa	Degrees Celsius	
1.7375815575189456E12	-9.695121951219512	0.7951807228915663	-1.0963855421686748	-0.8354278874925194	-9.594254937163376	-1.0963494913225613	4121.611721611721	1843.956043956044	-3.5114503816793894	-0.015267175572519083	-1.9389312977099236	-0.2653673163418291	-0.2128935532233883	-0.280359820089955	100.53188676310056	35.836387797357744	
1.7375815575239238E12	-9.682926829268293	0.7951807228915663	-1.0963855421686748	-0.8689407540394973	-9.601436265709156	-1.1035308198683422	4109.89010989011	1908.4249084249084	-3.6488549618320607	-0.21374045801526717	-1.8931297709923662	-0.2653673163418291	-0.21589205397301348	-0.2773613193403298	100.53188676310056	35.836387797357744	
1.7375815575289023E12	-9.670731707317074	0.819277108433735	-1.0843373493975905	-0.8737283064033513	-9.584679832435667	-1.0628366247755834	4120.14652014652	1943.5897435897434	-3.3435114503816794	-0.366412213740458	-1.984732824427481	-0.2653673163418291	-0.21589205397301348	-0.2773613193403298	100.53188676310056	35.836387797357744	
1.7375815575338809E12	-9.658536585365853	0.8313253012048193	-1.1204819277108435	-0.8593656493117894	-9.572710951526032	-1.0604428485936566	4117.216117216117	1958.2417582417581	-3.145038167938931	-0.2900763358778626	-2.091603053435114	-0.26686656671664166	-0.22188905547226387	-0.2773613193403298	100.53188676310056	35.836387797357744	
1.7375815575388591E12	-9.609756097560975	0.8433734939759037	-1.1204819277108435	-0.8378216636744464	-9.520047875523638	-1.1202872531418313	4121.611721611721	1969.9633699633698	-3.0839694656488548	-0.7480916030534351	-2.0	-0.26686656671664166	-0.22188905547226387	-0.2773613193403298	100.53451608062923	35.836387797357744	
1.7375815575438376E12	-9.597560975609756	0.8433734939759037	-1.1204819277108435	-0.8761220825852782	-9.496110113704368	-1.1274685816876122	4131.868131868132	1788.278388278388	-3.1755725190839694	-1.0381679389312977	-1.648854961832061	-0.2698650674662669	-0.21739130434782608	-0.27586206896551724	100.53451608062923	35.836387797357744	
1.737581557548816E12	-9.573170731707318	0.8433734939759037	-1.1566265060240966	-0.8809096349491322	-9.481747456612807	-1.156193895870736	4121.611721611721	1898.9010989010987	-3.83206106870229	-1.6946564885496183	-1.8931297709923662	-0.2698650674662669	-0.21739130434782608	-0.27586206896551724	100.53451608062923	35.836387797357744	
1.7375815575537944E12	-9.585365853658537	0.8313253012048193	-1.1566265060240966	-0.8761220825852782	-9.450628366247756	-1.156193895870736	4112.820512820513	1937.7289377289376	-4.198473282442748	-2.4427480916030535	-1.8473282442748091	-0.272863568215892	-0.22338830584707645	-0.2863568215892054	100.52925744795154	35.836387797357744	
1.737581557558773E12	-9.573170731707318	0.8313253012048193	-1.1566265060240966	-0.8904847396768402	-9.481747456612807	-1.1346499102333931	4099.6336996336995	1936.263736263736	-4.152671755725191	-3.0076335877862594	-2.198473282442748	-0.272863568215892	-0.22338830584707645	-0.2863568215892054	100.52925744795154	35.836387797357744	
1.7375815575637512E12	-9.560975609756097	0.855421686746988	-1.180722891566265	-0.8689407540394973	-9.464991023339318	-1.168162776780371	4114.285714285714	1949.4505494505493	-4.763358778625954	-4.030534351145038	-1.7251908396946565	-0.2578710644677661	-0.20689655172413793	-0.280359820089955	100.52925744795154	35.836387797357744	
